simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,baseline_lux
82,4,ebook_second,21.995000000000005,6.814999999999998,2.5400000000000063,0.0,Book,500
82,5,ebook_second,21.995000000000005,6.75,2.180000000000007,0.0,Book,500
82,6,ebook_second,21.995000000000005,6.699999999999989,1.9150000000000063,0.0,Book,500
82,7,ebook_second,21.995000000000005,6.439999999999998,1.7150000000000034,0.0,None,500
82,8,ebook_second,21.995000000000005,6.719999999999999,1.460000000000008,0.0,eBook,500
82,9,ebook_second,21.995000000000005,6.715000000000003,1.9800000000000182,0.0,eBook,500
82,10,ebook_second,21.995000000000005,6.715000000000003,1.9749999999999943,0.0,eBook,500
82,11,ebook_second,21.995000000000005,6.714999999999975,1.9800000000000182,0.0,eBook,500
82,12,ebook_second,21.995000000000005,6.714999999999975,1.9800000000000182,0.0,eBook,500
82,13,ebook_second,21.995000000000005,6.490000000000009,1.9800000000000182,0.0,None,500
54,1,ebook_second,22.035,6.879999999999999,3.5,2.1000000000000085,None,500
54,2,ebook_second,21.994999999999997,7.175000000000004,3.0600000000000023,0.0,Book,500
54,3,ebook_second,21.995000000000005,7.039999999999992,3.030000000000001,0.0,Book,500
54,4,ebook_second,21.995000000000005,6.959999999999994,2.5400000000000063,0.0,Book,500
54,5,ebook_second,21.995000000000005,6.894999999999996,2.180000000000007,0.0,Book,500
54,6,ebook_second,21.995000000000005,6.840000000000003,1.9150000000000063,0.0,Book,500
54,7,ebook_second,21.995000000000005,6.564999999999998,1.7150000000000034,0.0,None,500
54,8,ebook_second,21.995000000000005,6.8799999999999955,1.460000000000008,0.0,eBook,500
54,9,ebook_second,21.995000000000005,6.860000000000014,1.9800000000000182,0.0,eBook,500
54,10,ebook_second,21.995000000000005,6.865000000000009,1.9749999999999943,0.0,eBook,500
54,11,ebook_second,21.995000000000005,6.865000000000009,1.9800000000000182,0.0,eBook,500
54,12,ebook_second,21.995000000000005,6.865000000000009,1.9800000000000182,0.0,eBook,500
54,13,ebook_second,21.995000000000005,6.6200000000000045,1.9800000000000182,0.0,None,500
83,1,ebook_second,21.995,7.149999999999999,3.5,0.0,None,500
83,2,ebook_second,21.994999999999997,7.395000000000003,3.0600000000000023,0.0,Book,500
83,3,ebook_second,21.995000000000005,7.2549999999999955,3.030000000000001,0.0,Book,500
83,4,ebook_second,21.995000000000005,7.170000000000002,2.5400000000000063,0.0,Book,500
83,5,ebook_second,21.995000000000005,7.099999999999994,2.180000000000007,0.0,Book,500
83,6,ebook_second,21.995000000000005,7.0449999999999875,1.9150000000000063,0.0,Book,500
83,7,ebook_second,21.995000000000005,6.780000000000001,1.7150000000000034,0.0,None,500
83,8,ebook_second,21.995000000000005,7.085000000000008,1.460000000000008,0.0,eBook,500
83,9,ebook_second,21.995000000000005,7.069999999999993,1.9800000000000182,0.0,eBook,500
83,10,ebook_second,21.995000000000005,7.069999999999993,1.9749999999999943,0.0,eBook,500
83,11,ebook_second,21.995000000000005,7.074999999999989,1.9800000000000182,0.0,eBook,500
83,12,ebook_second,21.995000000000005,7.074999999999989,1.9800000000000182,0.0,eBook,500
