simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition
100,13,ebook_first,21.995000000000005,6.310000000000002,-0.3050000000000068,0.0,None
100,1,ebook_second,22.95,7.045000000000002,4.565000000000001,56.99999999999996,None
100,2,ebook_second,22.725,7.270000000000003,4.025000000000002,43.500000000000085,Book
100,3,ebook_second,22.450000000000003,7.295000000000002,3.5900000000000034,27.00000000000017,Book
100,4,ebook_second,22.064999999999998,7.25500000000001,3.105000000000004,3.8999999999998636,Book
100,5,ebook_second,21.995000000000005,7.179999999999993,2.635000000000005,0.0,Book
100,6,ebook_second,21.995000000000005,7.069999999999993,2.1850000000000023,0.0,Book
100,7,ebook_second,21.995000000000005,6.889999999999986,1.75,0.0,None
100,8,ebook_second,21.995000000000005,6.814999999999998,1.210000000000008,0.0,eBook
100,9,ebook_second,21.995000000000005,6.740000000000009,0.9300000000000068,0.0,eBook
100,10,ebook_second,21.995000000000005,6.655000000000001,0.625,0.0,eBook
100,11,ebook_second,21.995000000000005,6.569999999999993,0.33500000000000796,0.0,eBook
100,12,ebook_second,21.995000000000005,6.4950000000000045,0.06499999999999773,0.0,eBook
100,13,ebook_second,21.995000000000005,6.339999999999975,-0.18500000000000227,0.0,None
105,1,regular,22.61,7.385000000000002,3.4250000000000007,36.599999999999966,None
105,2,regular,22.61,7.385000000000005,3.4200000000000017,36.599999999999966,None
105,3,regular,22.61,7.385000000000005,3.4200000000000017,36.599999999999966,None
105,4,regular,22.61,7.385000000000005,3.4150000000000063,36.599999999999966,None
105,5,regular,22.605000000000004,7.390000000000001,3.4150000000000063,36.30000000000024,None
105,6,regular,22.610000000000014,7.384999999999991,3.4150000000000063,36.60000000000082,None
105,7,regular,22.60499999999999,7.390000000000015,3.414999999999992,36.299999999999386,None
105,8,regular,22.610000000000014,7.384999999999991,3.414999999999992,36.60000000000082,None
105,9,regular,22.605000000000018,7.389999999999986,3.414999999999992,36.30000000000109,None
105,10,regular,22.605000000000018,7.389999999999986,3.414999999999992,36.30000000000109,None
105,11,regular,22.605000000000018,7.389999999999986,3.414999999999992,36.30000000000109,None
105,12,regular,22.605000000000018,7.389999999999986,3.4150000000000205,36.30000000000109,None
105,13,regular,22.605000000000018,7.389999999999986,3.4150000000000205,36.30000000000109,None
105,1,ebook_first,22.325,7.245000000000001,3.4250000000000007,19.499999999999957,None
105,2,ebook_first,21.994999999999997,7.2450000000000045,2.865000000000002,0.0,eBook
105,3,ebook_first,21.995000000000005,7.144999999999996,2.4849999999999994,0.0,eBook
105,4,ebook_first,21.995000000000005,7.030000000000001,2.0450000000000017,0.0,eBook
105,5,ebook_first,21.995000000000005,6.914999999999992,1.625,0.0,eBook
105,6,ebook_first,21.995000000000005,6.805000000000007,1.230000000000004,0.0,eBook
105,7,ebook_first,21.995000000000005,6.625,0.8549999999999898,0.0,None
105,8,ebook_first,21.995000000000005,6.530000000000001,0.3149999999999977,0.0,Book
105,9,ebook_first,21.995000000000005,6.430000000000007,-0.03499999999999659,0.0,Book
105,10,ebook_first,21.995000000000005,6.3300000000000125,-0.40500000000000114,0.0,Book
105,11,ebook_first,21.995000000000005,6.235000000000014,-0.7549999999999955,0.0,Book
105,12,ebook_first,21.995000000000005,6.144999999999982,-1.0849999999999795,0.0,Book
105,13,ebook_first,21.995000000000005,6.009999999999991,-1.3949999999999818,0.0,None
105,1,ebook_second,22.325,7.245000000000001,3.4250000000000007,19.499999999999957,None
105,2,ebook_second,21.994999999999997,7.230000000000004,2.865000000000002,0.0,Book
105,3,ebook_second,21.995000000000005,7.11999999999999,2.4350000000000023,0.0,Book
105,4,ebook_second,21.995000000000005,6.989999999999995,1.9450000000000074,0.0,Book
105,5,ebook_second,21.995000000000005,6.859999999999999,1.4750000000000085,0.0,Book
105,6,ebook_second,21.995000000000005,6.734999999999985,1.0300000000000011,0.0,Book
105,7,ebook_second,21.995000000000005,6.555000000000007,0.6049999999999898,0.0,None
105,8,ebook_second,21.995000000000005,6.469999999999999,0.07500000000001705,0.0,eBook
105,9,ebook_second,21.995000000000005,6.389999999999986,-0.21000000000000796,0.0,eBook
105,10,ebook_second,21.995000000000005,6.305000000000007,-0.5099999999999909,0.0,eBook
105,11,ebook_second,21.995000000000005,6.230000000000018,-0.7949999999999875,0.0,eBook
105,12,ebook_second,21.995000000000005,6.15500000000003,-1.0649999999999977,0.0,eBook
105,13,ebook_second,21.995000000000005,6.024999999999977,-1.3249999999999886,0.0,None
106,1,regular,23.215,6.780000000000001,4.620000000000001,72.89999999999999,None
106,2,regular,23.215000000000003,6.780000000000001,4.615000000000002,72.9000000000002,None
