simulation_idx,mu,Delta,chi,p,k,tauc,forced_wakeup_light_threshold,sleep_duration,sleep_onset,sleep_offset,dlmo,x_f,xc_f,n_f,H_f,S_f
3,19.0,6.0,11.0,0.5,0.4,24.25,0.5,7.34499999999997,310.65000000000003,317.995,20.82499999999999,-0.6342356099549554,-0.8963542843359804,0.16805113894097778,14.781124536538348,1.0
2,19.0,6.0,11.0,0.5,0.4,24.1,0.5,7.475000000000023,310.52,317.995,20.54000000000002,-0.6868806738634375,-0.8477111017291092,0.16805113894097778,14.57367866025775,1.0
56,19.0,6.0,11.0,0.6,0.475,23.95,0.5,7.644999999999982,310.315,317.96,20.11500000000001,-0.7593630658146959,-0.762472105877903,0.15996243827183032,14.23339607414719,1.0
42,19.0,6.0,11.0,0.55,0.625,24.1,0.5,7.660000000000025,310.335,317.995,20.180000000000007,-0.7584677856500773,-0.7747024805918169,0.16413461883655128,14.253614098863732,1.0
95,19.0,6.0,11.0,0.6499999999999999,0.7,23.8,0.5,7.394999999999982,309.995,317.39,19.389999999999986,-0.8504347846525244,-0.5941052701548192,0.15553772802775026,13.916057269628476,1.0
81,19.0,6.0,11.0,0.6499999999999999,0.475,23.95,0.5,7.639999999999986,310.305,317.945,20.105000000000018,-0.7601833420769524,-0.7593776361823171,0.15553772802775026,14.222350431059015,1.0
97,19.0,6.0,11.0,0.6499999999999999,0.7,24.1,0.5,7.6650000000000205,310.235,317.90000000000003,20.055000000000007,-0.7783440752724291,-0.7458006465474764,0.15553772802775026,14.122743481375155,1.0
83,19.0,6.0,11.0,0.6499999999999999,0.475,24.25,0.5,7.394999999999982,310.6,317.995,20.725000000000023,-0.6551451740384493,-0.8753398071758586,0.15553772802775026,14.702879701512593,1.0
68,19.0,6.0,11.0,0.6,0.625,24.25,0.5,7.535000000000025,310.46,317.995,20.470000000000027,-0.711502467228525,-0.8309595132973143,0.15996243827183032,14.464183591284929,1.0
54,19.0,6.0,11.0,0.6,0.4,24.4,0.5,7.194999999999993,310.8,317.995,21.139999999999986,-0.5677535457774725,-0.9416305002330845,0.15996243827183032,15.049187424195388,1.0
40,19.0,6.0,11.0,0.55,0.625,23.8,0.5,7.485000000000014,309.995,317.48,19.569999999999993,-0.8321467363299597,-0.6396945378484868,0.16413461883655128,13.883621441569414,1.0
0,19.0,6.0,11.0,0.5,0.4,23.8,0.5,7.605000000000018,310.185,317.79,19.95999999999998,-0.7782042376913159,-0.7330273943810826,0.16805113894097778,14.073666895031783,1.0
1,19.0,6.0,11.0,0.5,0.4,23.95,0.5,7.600000000000023,310.395,317.995,20.254999999999995,-0.7349881306373672,-0.7935566177990555,0.16805113894097778,14.361957562889728,1.0
41,19.0,6.0,11.0,0.55,0.625,23.95,0.5,7.619999999999948,310.09000000000003,317.71,19.879999999999995,-0.7984241152290218,-0.711139019974472,0.16413461883655128,13.954464293446023,1.0
55,19.0,6.0,11.0,0.6,0.475,23.8,0.5,7.579999999999984,310.03000000000003,317.61,19.80000000000001,-0.801532101430866,-0.6958726778949202,0.15996243827183032,13.893229968156334,1.0
