simulation_idx,day,simulation_condition,sleep_onset,sleep_duration,cbtmin,sleep_latency_minutes,daily_condition,indoor_light,reading_duration
89,8,chang14_ebook_first,22.580000000000013,7.414999999999992,2.5999999999999943,34.80000000000075,Book,190,4
89,9,chang14_ebook_first,22.360000000000014,7.634999999999991,2.694999999999993,21.60000000000082,Book,190,4
89,10,chang14_ebook_first,22.25,7.724999999999994,2.4250000000000114,15.0,Book,190,4
89,11,chang14_ebook_first,22.144999999999982,7.685000000000002,2.2150000000000034,8.699999999998909,Book,190,4
89,12,chang14_ebook_first,22.00999999999999,7.689999999999998,2.0500000000000114,0.5999999999994543,Book,190,4
89,13,chang14_ebook_first,21.995000000000005,7.509999999999991,1.920000000000016,0.0,None,190,4
89,1,chang14_ebook_second,22.955000000000002,7.039999999999999,3.504999999999999,57.30000000000011,None,190,4
89,2,chang14_ebook_second,22.89,7.105000000000004,3.2300000000000004,53.400000000000034,Book,190,4
89,3,chang14_ebook_second,22.605000000000004,7.390000000000001,3.2349999999999994,36.30000000000024,Book,190,4
89,4,chang14_ebook_second,22.445000000000007,7.549999999999997,2.855000000000004,26.700000000000443,Book,190,4
89,5,chang14_ebook_second,22.305000000000007,7.689999999999998,2.555000000000007,18.30000000000041,Book,190,4
89,6,chang14_ebook_second,22.200000000000017,7.699999999999989,2.3200000000000074,12.000000000001023,Book,190,4
89,7,chang14_ebook_second,22.194999999999993,7.510000000000019,2.1299999999999955,11.69999999999959,None,190,4
89,8,chang14_ebook_second,22.349999999999994,7.64500000000001,1.9650000000000034,20.99999999999966,eBook,190,4
89,9,chang14_ebook_second,22.435000000000002,7.560000000000002,2.405000000000001,26.100000000000136,eBook,190,4
89,10,chang14_ebook_second,22.435000000000002,7.560000000000002,2.420000000000016,26.100000000000136,eBook,190,4
89,11,chang14_ebook_second,22.439999999999998,7.555000000000007,2.4399999999999977,26.399999999999864,eBook,190,4
89,12,chang14_ebook_second,22.44999999999999,7.545000000000016,2.454999999999984,26.999999999999318,eBook,190,4
89,13,chang14_ebook_second,22.400000000000034,7.564999999999998,2.465000000000032,24.000000000002046,None,190,4
90,1,chang14_ebook_first,21.995,6.484999999999999,3.5,0.0,None,190,4
90,2,chang14_ebook_first,21.994999999999997,6.690000000000005,3.2300000000000004,0.0,eBook,190,4
90,3,chang14_ebook_first,21.995000000000005,6.664999999999992,3.4200000000000017,0.0,eBook,190,4
90,4,chang14_ebook_first,21.995000000000005,6.644999999999996,3.210000000000008,0.0,eBook,190,4
90,5,chang14_ebook_first,21.995000000000005,6.625,3.0450000000000017,0.0,eBook,190,4
90,6,chang14_ebook_first,21.995000000000005,6.609999999999985,2.924999999999997,0.0,eBook,190,4
90,7,chang14_ebook_first,21.995000000000005,6.409999999999997,2.8300000000000125,0.0,None,190,4
90,8,chang14_ebook_first,21.995000000000005,6.585000000000008,2.5999999999999943,0.0,Book,190,4
90,9,chang14_ebook_first,21.995000000000005,6.550000000000011,2.694999999999993,0.0,Book,190,4
90,10,chang14_ebook_first,21.995000000000005,6.514999999999986,2.4250000000000114,0.0,Book,190,4
90,11,chang14_ebook_first,21.995000000000005,6.480000000000018,2.2150000000000034,0.0,Book,190,4
90,12,chang14_ebook_first,21.995000000000005,6.454999999999984,2.0500000000000114,0.0,Book,190,4
90,13,chang14_ebook_first,21.995000000000005,6.264999999999986,1.920000000000016,0.0,None,190,4
90,1,chang14_ebook_second,21.995,6.484999999999999,3.5,0.0,None,190,4
90,2,chang14_ebook_second,21.994999999999997,6.645000000000003,3.2300000000000004,0.0,Book,190,4
90,3,chang14_ebook_second,21.995000000000005,6.609999999999999,3.230000000000004,0.0,Book,190,4
90,4,chang14_ebook_second,21.995000000000005,6.569999999999993,2.8500000000000085,0.0,Book,190,4
90,5,chang14_ebook_second,21.995000000000005,6.534999999999997,2.549999999999997,0.0,Book,190,4
